ID,Lane,Length,Netin,Netout,Loc,Dir,S_in,L_in,R_in,S_out,L_out,R_out,x0,y0,x1,y1
C12400124008,3,70,True,True,0,0,C12400124007,0,0,C12400124009,0,0,213717.315441,549447.511977,213740.751532,549513.403745
C12400124009,3,70,True,True,0,0,C12400124008,0,0,C124001240010,0,0,213740.751532,549513.403745,213764.187624,549579.295513
C124001240010,3,70,True,True,2,1,C12400124009,0,0,C12400154001,0,0,213764.187624,549579.295513,213787.6308,549645.2072
C12400014041,5,70,True,True,0,0,0,0,0,C12400014042,0,0,210861.0436,548829.1278,210798.078375,548858.081974
C12400014042,5,70,True,True,0,0,C12400014041,0,0,C12400014043,0,0,210798.078375,548858.081974,210735.113149,548887.036149
C12400014043,5,70,True,True,0,0,C12400014042,0,0,C12400014044,0,0,210735.113149,548887.036149,210672.147924,548915.990323
C12400014044,5,70,True,True,0,0,C12400014043,0,0,C12400014045,0,0,210672.147924,548915.990323,210609.182698,548944.944498
C12400014045,5,70,True,True,0,0,C12400014044,0,0,C12400014046,0,0,210609.182698,548944.944498,210546.217473,548973.898672
C12400014046,5,70,True,True,0,0,C12400014045,0,0,C12400014047,0,0,210546.217473,548973.898672,210483.252247,549002.852846
C12400014047,5,70,True,True,0,0,C12400014046,0,0,C12400014048,0,0,210483.252247,549002.852846,210420.287022,549031.807021
C12400014048,5,70,True,True,0,0,C12400014047,0,0,C12400014049,0,0,210420.287022,549031.807021,210357.321796,549060.761195
C12400014049,5,70,True,True,0,0,C12400014048,0,0,C124000140410,0,0,210357.321796,549060.761195,210294.356571,549089.71537
C124000140410,5,70,True,True,0,0,C12400014049,0,0,C124000140411,0,0,210294.356571,549089.71537,210231.391346,549118.669544
C124000140411,5,70,True,True,0,0,C124000140410,0,0,C124000140412,0,0,210231.391346,549118.669544,210168.42612,549147.623718
C124000140412,5,70,True,True,0,0,C124000140411,0,0,C124000140413,0,0,210168.42612,549147.623718,210105.460895,549176.577893
C124000140413,5,70,True,True,0,0,C124000140412,0,0,C124000140414,0,0,210105.460895,549176.577893,210042.495669,549205.532067
C124000140414,5,70,True,True,0,0,C124000140413,0,0,C124000140415,0,0,210042.495669,549205.532067,209979.530444,549234.486242
C124000140415,5,70,True,True,0,0,C124000140414,0,0,C124000140416,0,0,209979.530444,549234.486242,209916.565218,549263.440416
C124000140416,5,70,True,True,0,0,C124000140415,0,0,0,0,0,209916.565218,549263.440416,209809.5846,549312.6348
C12400009031,5,70,True,True,0,0,0,0,0,C12400010031,0,0,210905.3566,548796.6879,210979.5606,548768.7697
C12400010031,5,52.52929984,True,True,0,0,0,0,0,C12400013011,0,0,210958.8187,548787.9001,210910.1579,548807.6855
C12400013011,5,54.3250433,True,True,0,0,0,0,0,C12400111011,0,0,210855.5694,548818.4239,210905.3566,548796.6879
C12400111011,3,51.32336345,True,True,0,0,0,0,0,C12400097021,0,0,210914.9487,548853.3568,210901.9528,548803.706
C12400097021,3,53.0784102,True,True,0,0,0,0,0,C12400112011,0,0,210901.9528,548803.706,210888.3842,548752.3911
C12400112011,3,48.47039329,True,True,0,0,0,0,0,C12400098021,0,0,210913.5617,548800.6674,210925.8352,548847.5582
C12400098021,4,59.2240876,True,True,0,0,0,0,0,C12400056001,0,0,210898.4221,548743.411,210913.5617,548800.6674
C12400056001,2,70,True,True,3,2,C123003180210,C12400057025,0,C12400056002,C12400057025,0,212951.2229,547130.5419,212972.618496,547197.192098
C12400056002,2,70,True,True,0,0,C12400056001,0,0,C12400056003,0,0,212972.618496,547197.192098,212994.014092,547263.842295
C12400056003,2,70,True,True,2,1,C12400056002,0,0,C12400084011,0,0,212994.014092,547263.842295,213032.4675,547383.6299
C12400055021,2,70,True,True,2,2,C12400083013,0,C12400061003,C12400055022,0,0,213021.0418,547387.2977,212999.646204,547320.647503
C12400055022,2,70,True,True,0,0,C12400055021,0,0,C12400055023,0,0,212999.646204,547320.647503,212978.250608,547253.997305
C12400055023,2,70,True,True,3,1,C12400055022,0,0,C12300317021,0,C12400058021,212978.250608,547253.997305,212939.7972,547134.2097
C12400084011,2,70,True,True,3,2,C12400056003,C12400061003,0,C12400084012,C12400061003,0,213032.4594,547383.6048,213054.147671,547450.160337
C12400084012,2,70,True,True,0,0,C12400084011,0,0,C12400084013,0,0,213054.147671,547450.160337,213075.835943,547516.715874
C12400084013,2,70,True,True,2,1,C12400084012,0,0,C12400084021,0,0,213075.835943,547516.715874,213098.4558,547586.1302
C12400083011,2,70,True,True,2,2,C124000830217,0,C12400339006,C12400083012,0,0,213087.0463,547589.8482,213065.358029,547523.292663
C12400083012,2,70,True,True,0,0,C12400083011,0,0,C12400083013,0,0,213065.358029,547523.292663,213043.669757,547456.737127
C12400083013,2,70,True,True,3,1,C12400083012,0,0,C12400055021,0,C12400062001,213043.669757,547456.737127,213021.0499,547387.3228
C12400323001,1,70,True,True,2,2,C12400075003,C12400064003,C12400065007,C12400323002,C12400064003,0,212541.7158,547548.5896,212521.550656,547481.579062
C12400323002,1,70,True,True,0,0,C12400323001,0,0,C12400323003,0,0,212521.550656,547481.579062,212501.385512,547414.568523
C12400323003,1,70,True,True,2,1,C12400323002,0,0,C12400299001,0,0,212501.385512,547414.568523,212476.2775,547331.1324
C12400322001,1,70,True,True,2,2,C12400298006,0,0,C12400322002,0,0,212487.7381,547327.5751,212507.89464,547394.58794
C12400322002,1,70,True,True,0,0,C12400322001,0,0,C12400322003,0,0,212507.89464,547394.58794,212528.05118,547461.60078
C12400322003,1,70,True,True,2,1,C12400322002,0,0,C12400076001,0,C12400063001,212528.05118,547461.60078,212553.4207,547545.9448
C12400014051,5,53.59084127,True,True,0,0,0,0,0,C12300375011,0,0,210910.1579,548807.6855,210861.0436,548829.1278
C12300375011,1,70,True,True,1,2,C12300375038,0,0,C12300375012,0,0,210155.9062,548394.7342,210090.007576,548418.343174
C12300375012,1,70,True,True,1,1,C12300375011,0,0,0,0,0,210090.007576,548418.343174,209961.2629,548464.4675
C12300374011,1,70,True,True,1,2,0,0,0,C12300374012,0,0,209957.2157,548453.1706,210023.114324,548429.561626
C12300374012,1,70,True,True,1,1,C12300374011,0,0,C12300374021,0,0,210023.114324,548429.561626,210151.859,548383.4373
C12400010011,5,70,True,True,1,2,C12400006033,C12400094009,C12400402004,C12400010012,C12400094009,0,211185.3535,548704.9106,211119.682747,548728.968638
C12400010012,5,70,True,True,0,0,C12400010011,0,0,C12400010013,0,0,211119.682747,548728.968638,211054.011995,548753.026677
C12400010013,5,70,True,True,0,0,C12400010012,0,0,0,0,0,211054.011995,548753.026677,210958.8187,548787.9001
C12400602001,4,70,True,True,2,1,0,0,0,C12400601001,0,0,211046.3692,550595.1164,211015.0562,550490.4454
C12400601001,3,70,True,True,1,2,C12400602001,0,0,C12400601002,0,0,211015.2164,550491.1365,210995.823974,550423.879412
C12400601002,3,70,True,True,0,0,C12400601001,0,0,C12400601003,0,0,210995.823974,550423.879412,210976.431547,550356.622323
C12400601003,3,70,True,True,2,1,C12400601002,0,0,C12400600001,0,0,210976.431547,550356.622323,210945.5312,550249.4533
C12400600001,1,70,True,True,1,2,C12400601003,C12400190025,0,C12400600002,C12400190025,0,210945.3392,550248.3602,210927.589245,550180.741782
C12400600002,1,70,True,True,0,0,C12400600001,0,0,C12400600003,0,0,210927.589245,550180.741782,210909.83929,550113.123364
C12400600003,1,70,True,True,0,0,C12400600002,0,0,C12400600004,0,0,210909.83929,550113.123364,210892.089335,550045.504946
C12400600004,1,70,True,True,2,1,C12400600003,0,0,C12400599001,0,0,210892.089335,550045.504946,210860.4456,549924.9582
C12400599001,1,70,True,True,1,2,C12400600004,C12400450004,0,C12400599002,C12400450004,0,210860.5324,549925.2617,210840.148409,549858.296334
C12400599002,1,70,True,True,0,0,C12400599001,0,0,C12400599003,0,0,210840.148409,549858.296334,210819.764418,549791.330967
C12400599003,1,70,True,True,0,0,C12400599002,0,0,C12400599004,0,0,210819.764418,549791.330967,210799.380427,549724.365601
C12400599004,1,70,True,True,1,1,C12400599003,0,0,0,0,0,210799.380427,549724.365601,210768.8955,549624.2167
C12300375031,1,70,True,True,1,2,C12400092001,C12300369003,C12400097018,C12300375032,C12300369003,0,210737.3487,548184.8121,210671.516378,548208.579996
C12300375032,1,70,True,True,0,0,C12300375031,0,0,C12300375033,0,0,210671.516378,548208.579996,210605.684056,548232.347892
C12300375033,1,70,True,True,0,0,C12300375032,0,0,C12300375034,0,0,210605.684056,548232.347892,210539.851733,548256.115787
C12300375034,1,70,True,True,0,0,C12300375033,0,0,C12300375035,0,0,210539.851733,548256.115787,210474.019411,548279.883683
C12300375035,1,70,True,True,0,0,C12300375034,0,0,C12300375036,0,0,210474.019411,548279.883683,210408.187089,548303.651579
C12300375036,1,70,True,True,0,0,C12300375035,0,0,C12300375037,0,0,210408.187089,548303.651579,210342.354767,548327.419475
C12300375037,1,70,True,True,0,0,C12300375036,0,0,C12300375038,0,0,210342.354767,548327.419475,210276.522445,548351.187371
C12300375038,1,70,True,True,2,1,C12300375037,0,0,C12300375011,0,0,210276.522445,548351.187371,210155.9128,548394.7319
C12300368001,3,70,True,True,2,2,C12400097018,C12400092001,C12300374028,C12300368002,C12400092001,0,210729.556,548180.802,210710.431046,548113.465161
C12300368002,3,70,True,True,0,0,C12300368001,0,0,C12300368003,0,0,210710.431046,548113.465161,210691.306092,548046.128321
C12300368003,3,70,True,True,0,0,C12300368002,0,0,0,0,0,210691.306092,548046.128321,210654.5068,547916.5621
C12300369001,3,70,True,True,0,0,0,0,0,C12300369002,0,0,210666.0502,547913.2835,210685.175154,547980.62034
C12300369002,3,70,True,True,0,0,C12300369001,0,0,C12300369003,0,0,210685.175154,547980.62034,210704.300108,548047.957179
