LINK_ID,F_NODE,T_NODE,ROAD_USE,LANES,MAX_SPD,x0,y0,x1,y1,Length,NumCell,CellLen
1240018600,1240005300,1240005700,0,2,60,211273.8848,550075.54,211316.1521,550220.2233,150.7305893,3,70
1240020301,1240022500,1240005700,0,2,60,211377.4476,550480.1024,211304.6209,550223.5442,266.693856,3,70
1240020401,1240005700,1240022500,0,2,60,211316.1648,550220.2673,211388.9915,550476.8255,266.6938552,3,70
1240000703,1240016300,1240015000,0,5,70,213464.9677,548758.9036,212981.3256,548500.0895,548.5372541,3,70
1240000802,1240015000,1240016300,0,5,70,212986.9875,548489.5092,213470.6296,548748.3232,548.5372059,3,70
1240010402,1240014500,1240015200,0,2,30,212848.4719,548424.277,212888.1595,548584.3503,164.9195441,3,70
1240010301,1240015200,1240014500,0,2,30,212876.5122,548587.238,212836.8246,548427.1648,164.9194477,3,70
1240000702,1240015000,1240014500,0,6,70,212981.5244,548500.1912,212840.0162,548431.1128,157.46839,3,70
1240000801,1240014500,1240015000,0,5,70,212845.2803,548420.329,212986.7886,548489.4075,157.4685235,3,70
1240011402,1240003300,1240017100,0,2,40,213547.9922,548994.1522,212992.5461,549032.5779,556.7735631,3,70
1240011302,1240017100,1240003300,0,2,40,212991.7566,549020.6039,213547.1491,548982.1818,556.7733638,3,70
1240011800,1240017200,1240017300,0,2,60,212992.5937,549032.5745,212482.6083,549070.2777,511.3761724,3,70
1240011700,1240017300,1240017200,0,2,60,212481.7236,549058.3104,212991.709,549020.6072,511.3761725,3,70
1240013001,1240017300,1240018500,0,2,60,212487.9315,549062.633,212618.6028,549516.1959,472.0099872,3,70
1240012901,1240018500,1240017300,0,2,60,212607.0718,549519.518,212476.4005,549065.9551,472.0099889,3,70
1240013002,1240018500,1240004400,0,3,60,212618.5852,549516.1361,212661.8138,549660.5239,150.7198037,3,70
1230037402,1230056400,1230056200,0,1,30,210151.8524,548383.4397,210733.3067,548173.5133,618.1906631,3,70
1240012902,1240004400,1240018500,0,3,60,212650.318,549663.9656,212607.0894,549519.5778,150.7198043,3,70
1240013802,1240004400,1240019100,0,2,40,212654.7367,549668.0957,212508.3204,549634.8331,150.1467455,3,70
1240013702,1240019100,1240004400,0,3,40,212510.9788,549623.1312,212657.3951,549656.3938,150.1467454,3,70
1240015900,1240020600,1240019600,0,1,30,213193.1889,549971.0298,213144.8942,549699.2585,276.0284263,3,70
1240016002,1240019600,1240020600,0,1,30,213156.7091,549697.159,213205.0038,549968.9302,276.0283268,3,70
1240009300,1240015900,1240013000,0,1,40,211178.3067,548702.5605,210838.0834,548144.0656,654.0292028,3,70
1240009400,1240013000,1240015900,0,1,40,210848.4724,548138.0597,211188.3351,548695.9702,653.3423205,3,70
1240009801,1230056100,1230056800,0,3,60,210741.1027,548177.5351,210898.4221,548743.411,587.3494899,3,70
1240009701,1230056700,1230056100,0,3,60,210888.3842,548752.3911,210729.5527,548180.7903,593.2706965,3,70
1240036200,1240012100,1240012400,0,1,30,210770.8736,547885.8139,210974.164,548093.3607,299.6865124,3,70
1240037100,1240012900,1240012500,0,1,30,210963.2173,548098.2769,210762.2236,547894.1312,297.1774136,3,70
1240015400,1240019300,1240020900,0,3,60,213787.8501,549646.5099,213806.3455,549973.6988,327.7104708,3,70
1240015300,1240020900,1240019300,0,3,60,213794.3646,549974.3761,213775.8692,549647.1871,327.710572,3,70
1240037700,1240015400,1240012600,1,1,40,211383.4568,548616.9695,211224.8939,548005.993,641.8615996,3,70
1240037600,1240012600,1240015400,0,1,40,211236.2453,548002.1011,211394.8775,548613.2859,642.1341671,3,70
1240037200,1240012000,1240014700,0,1,40,211593.0965,547879.0683,211815.4379,548450.4738,613.1439224,3,70
1240037300,1240014700,1240012000,0,1,40,211804.2732,548454.8726,211581.89,547883.3596,613.2592658,3,70
1240033800,1240011600,1240010200,0,1,60,211832.9424,547795.1958,211749.8904,547512.4433,294.6995266,3,70
1240033700,1240010200,1240011600,0,1,60,211761.391,547509.0175,211844.4712,547791.8659,294.7994866,3,70
1240008900,1240014600,1240002900,0,1,40,211863.4848,548429.8563,211646.5262,547860.4919,609.3215329,3,70
1240009000,1240002900,1240014600,0,1,40,211657.7183,547856.1631,211874.7598,548425.7483,609.557389,3,70
1240000902,1240016400,1240016100,0,5,60,210979.5606,548768.7697,211181.2884,548693.6201,215.2763321,3,70
1240011102,1240003700,1240017000,0,3,60,210984.1669,549093.498,210914.9487,548853.3568,249.9476268,3,70
1240011202,1240016900,1240003700,0,3,60,210925.8352,548847.5582,210995.6644,549090.0618,252.3876255,3,70
1240005702,1240009900,1240008800,0,1,30,212788.1373,547459.6595,212941.503,547127.6783,366.5527356,3,70
1240005802,1240008800,1240009900,0,1,30,212946.5852,547141.3539,212799.1252,547464.4829,355.8879843,3,70
1240033900,1240011200,1240010600,0,2,30,212663.2353,547752.543,213090.673,547582.3605,462.9568582,3,70
1240034000,1240010600,1240011200,0,2,30,213094.829,547593.6179,212665.7933,547764.2672,464.6266779,3,70
1240006902,1240011700,1240011200,0,2,40,212630.7566,547809.8862,212659.0899,547755.8408,61.07882926,3,70
1240007002,1240011200,1240011700,0,1,40,212669.9387,547760.9694,212641.1219,547815.9326,62.11716116,3,70
1240008700,1240013400,1240011700,0,1,40,212431.1247,548254.0043,212630.3912,547810.6249,486.3854325,3,70
1240008800,1240011700,1240013400,0,1,40,212641.4873,547815.1939,212441.6555,548259.7579,487.6993047,3,70
1240008501,1240014500,1240011700,0,1,60,212836.8575,548427.2915,212630.2459,547814.8031,646.4941923,3,70
1240008600,1240011700,1240014500,0,1,60,212641.6326,547811.0157,212848.4391,548424.1504,647.1696749,3,70
1240000203,1240013400,1240014500,0,5,70,212437.1656,548250.9314,212845.4832,548420.4329,446.0618893,3,70
1240000103,1240014500,1240013400,0,5,70,212839.8133,548431.0089,212435.6146,548262.8308,441.7047476,3,70
1240040200,1240003400,1240015900,0,1,30,211291.4978,548992.7544,211177.8558,548701.7417,317.5651969,3,70
1,,,,2,,211732.5214,549451.7811,212118.6404,549061.2494,564.2221419,3,70
2,,,,2,,212138.4979,549072.2813,211743.5534,549467.2259,574.2246874,3,70
1240042000,1040019400,1240017600,0,2,40,209899.1461,549512.1912,210986.9909,549086.541,1168.448806,3,70
1230031702,1240008800,1230047100,0,3,60,212939.787,547134.1775,212715.9661,546409.1389,758.8330511,3,70
1230031802,1230047100,1240008800,0,3,60,212727.3781,546405.4286,212951.2332,547130.5741,758.9452985,3,70
3,,,,2,,212279.644,549082.1399,212134.6806,549071.0731,148.8338319,3,70
4,,,,2,,212141.1984,549060.8841,212278.546,549070.1902,140.8609804,3,70
